fund,field,source,as_of,value
DOCK,totLiabs,EagleSTAR TrialBalance,20260624,437.79
DOCK,netAssets,EagleSTAR TrialBalance,20260624,1591060.41
DOCK,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
DOCK,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
DOCK,mon2Sales,EagleSTAR TrialBalance,20260624,1418757.50
DOCK,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
DOCK,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
DOCK,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
EMJN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
EMJN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
EMJN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
EMJN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
EMJN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-126.36
EMJN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-26368.97
EMJN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,315.64
EMJN,totAssets,EagleSTAR TrialBalance,20260624,1453167.13
EMJN,totLiabs,EagleSTAR TrialBalance,20260624,315.64
EMJN,netAssets,EagleSTAR TrialBalance,20260624,1452851.49
EMJN,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
EMJN,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
EMJN,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
EMJN,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
EMJN,mon3Sales,EagleSTAR TrialBalance,20260624,1228270.00
EMJN,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
EMMY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
EMMY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
EMMY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-15989.39
EMMY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-35347.94
EMMY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-15534.69
EMMY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-51223.32
EMMY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,617.63
EMMY,totAssets,EagleSTAR TrialBalance,20260624,5169328.64
EMMY,totLiabs,EagleSTAR TrialBalance,20260624,617.63
EMMY,netAssets,EagleSTAR TrialBalance,20260624,5168711.01
EMMY,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
EMMY,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
EMMY,mon2Sales,EagleSTAR TrialBalance,20260624,6165660.00
EMMY,mon2Redemption,EagleSTAR TrialBalance,20260624,1006828.00
EMMY,mon3Sales,EagleSTAR TrialBalance,20260624,1492246.00
EMMY,mon3Redemption,EagleSTAR TrialBalance,20260624,1496803.50
EMXX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
EMXX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
EMXX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
EMXX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
EMXX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-2768.90
EMXX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-19018.61
EMXX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,5184.62
EMXX,totAssets,EagleSTAR TrialBalance,20260624,465888.59
EMXX,totLiabs,EagleSTAR TrialBalance,20260624,5184.62
EMXX,netAssets,EagleSTAR TrialBalance,20260624,460703.97
EMXX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
EMXX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
EMXX,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
EMXX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
EMXX,mon3Sales,EagleSTAR TrialBalance,20260624,232030.00
EMXX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
EUV,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
EUV,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
EUV,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-505186.45
EUV,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,2813299.02
EUV,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-5049735.41
EUV,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,15886525.95
EUV,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,2807055.08
EUV,totAssets,EagleSTAR TrialBalance,20260624,381950015.60
EUV,totLiabs,EagleSTAR TrialBalance,20260624,2807055.08
EUV,netAssets,EagleSTAR TrialBalance,20260624,379142960.52
EUV,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
EUV,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
EUV,mon2Sales,EagleSTAR TrialBalance,20260624,265407448.00
EUV,mon2Redemption,EagleSTAR TrialBalance,20260624,6146392.50
EUV,mon3Sales,EagleSTAR TrialBalance,20260624,196495802.50
EUV,mon3Redemption,EagleSTAR TrialBalance,20260624,89915736.00
EUVX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
EUVX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
EUVX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
EUVX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
EUVX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-26101.53
EUVX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,41644.75
EUVX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,31338.92
EUVX,totAssets,EagleSTAR TrialBalance,20260624,1061620.35
EUVX,totLiabs,EagleSTAR TrialBalance,20260624,31338.92
EUVX,netAssets,EagleSTAR TrialBalance,20260624,1030281.43
EUVX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
EUVX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
EUVX,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
EUVX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
EUVX,mon3Sales,EagleSTAR TrialBalance,20260624,763966.00
EUVX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
EYES,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
EYES,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
EYES,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
EYES,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,153568.71
EYES,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
EYES,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-458745.75
EYES,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,732.47
EYES,totAssets,EagleSTAR TrialBalance,20260624,3047497.99
EYES,totLiabs,EagleSTAR TrialBalance,20260624,732.47
EYES,netAssets,EagleSTAR TrialBalance,20260624,3046765.52
EYES,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
EYES,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
EYES,mon2Sales,EagleSTAR TrialBalance,20260624,1263074.50
EYES,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
EYES,mon3Sales,EagleSTAR TrialBalance,20260624,1961729.00
EYES,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
FBX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
FBX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
FBX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
FBX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
FBX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
FBX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
FBX,totAssets,EagleSTAR TrialBalance,20260624,250000.00
FBX,netAssets,EagleSTAR TrialBalance,20260624,250000.00
FBX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
FBX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
FBX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
FBX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
FBX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
FBX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
FDRS,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,-868449.75
FDRS,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,-788520.00
FDRS,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-174418.82
FDRS,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,10714671.86
FDRS,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-415386.43
FDRS,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-9913495.93
FDRS,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,31344.30
FDRS,totAssets,EagleSTAR TrialBalance,20260624,98492759.99
FDRS,totLiabs,EagleSTAR TrialBalance,20260624,31344.30
FDRS,netAssets,EagleSTAR TrialBalance,20260624,98461415.69
FDRS,mon1Sales,EagleSTAR TrialBalance,20260624,84949377.00
FDRS,mon1Redemption,EagleSTAR TrialBalance,20260624,6157027.00
FDRS,mon2Sales,EagleSTAR TrialBalance,20260624,7600375.00
FDRS,mon2Redemption,EagleSTAR TrialBalance,20260624,1157510.00
FDRS,mon3Sales,EagleSTAR TrialBalance,20260624,20043907.00
FDRS,mon3Redemption,EagleSTAR TrialBalance,20260624,5398231.00
FDRX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,-1098696.15
FDRX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,951436.51
FDRX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-33857.11
FDRX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,4553624.15
FDRX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-142837.30
FDRX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-4381785.50
FDRX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,533718.36
FDRX,totAssets,EagleSTAR TrialBalance,20260624,17307110.24
FDRX,totLiabs,EagleSTAR TrialBalance,20260624,533718.36
FDRX,netAssets,EagleSTAR TrialBalance,20260624,16773391.88
FDRX,mon1Sales,EagleSTAR TrialBalance,20260624,17557169.00
FDRX,mon1Redemption,EagleSTAR TrialBalance,20260624,2008107.00
FDRX,mon2Sales,EagleSTAR TrialBalance,20260624,2047077.00
FDRX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
FDRX,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
FDRX,mon3Redemption,EagleSTAR TrialBalance,20260624,642372.00
GASZ,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GASZ,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GASZ,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-4961.44
GASZ,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-191332.04
GASZ,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GASZ,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,707890.41
GASZ,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,2062.24
GASZ,totAssets,EagleSTAR TrialBalance,20260624,11604382.09
GASZ,totLiabs,EagleSTAR TrialBalance,20260624,2062.24
GASZ,netAssets,EagleSTAR TrialBalance,20260624,11602319.85
GASZ,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
GASZ,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
GASZ,mon2Sales,EagleSTAR TrialBalance,20260624,2790446.50
GASZ,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
GASZ,mon3Sales,EagleSTAR TrialBalance,20260624,8173506.00
GASZ,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
GLAM,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GLAM,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GLAM,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-14.64
GLAM,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-3949.79
GLAM,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GLAM,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,73450.60
GLAM,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,324.11
GLAM,totAssets,EagleSTAR TrialBalance,20260624,1481109.88
GLAM,totLiabs,EagleSTAR TrialBalance,20260624,324.11
GLAM,netAssets,EagleSTAR TrialBalance,20260624,1480785.77
GLAM,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
GLAM,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
GLAM,mon2Sales,EagleSTAR TrialBalance,20260624,1283622.50
GLAM,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
GLAM,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
GLAM,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
GNMX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GNMX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GNMX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
GNMX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,81678.03
GNMX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GNMX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,121835.41
GNMX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,340.68
GNMX,totAssets,EagleSTAR TrialBalance,20260624,1605725.02
GNMX,totLiabs,EagleSTAR TrialBalance,20260624,340.68
GNMX,netAssets,EagleSTAR TrialBalance,20260624,1605384.34
GNMX,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
GNMX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
GNMX,mon2Sales,EagleSTAR TrialBalance,20260624,1277266.00
GNMX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
GNMX,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
GNMX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
GOGL,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GOGL,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GOGL,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
GOGL,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
GOGL,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GOGL,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
GOGL,totAssets,EagleSTAR TrialBalance,20260624,250000.00
GOGL,netAssets,EagleSTAR TrialBalance,20260624,250000.00
GOGL,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
GOGL,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
GOGL,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
GOGL,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
GOGL,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
GOGL,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
GPTZ,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GPTZ,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GPTZ,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
GPTZ,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
GPTZ,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GPTZ,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
GPTZ,totAssets,EagleSTAR TrialBalance,20260624,125000.00
GPTZ,netAssets,EagleSTAR TrialBalance,20260624,125000.00
GPTZ,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
GPTZ,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
GPTZ,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
GPTZ,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
GPTZ,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
GPTZ,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
HJUN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
HJUN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
HJUN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
HJUN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
HJUN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-139.65
HJUN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-2904.07
HJUN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,253.21
HJUN,totAssets,EagleSTAR TrialBalance,20260624,1372043.96
HJUN,totLiabs,EagleSTAR TrialBalance,20260624,253.21
HJUN,netAssets,EagleSTAR TrialBalance,20260624,1371790.75
HJUN,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
HJUN,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
HJUN,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
HJUN,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
HJUN,mon3Sales,EagleSTAR TrialBalance,20260624,1124316.00
HJUN,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
HMAY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
HMAY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
HMAY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
HMAY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,40287.63
HMAY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1403.39
HMAY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-14293.50
HMAY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,610.65
HMAY,totAssets,EagleSTAR TrialBalance,20260624,4795956.08
HMAY,totLiabs,EagleSTAR TrialBalance,20260624,610.65
HMAY,netAssets,EagleSTAR TrialBalance,20260624,4795345.43
HMAY,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
HMAY,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
HMAY,mon2Sales,EagleSTAR TrialBalance,20260624,5146380.50
HMAY,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
HMAY,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
HMAY,mon3Redemption,EagleSTAR TrialBalance,20260624,506546.00
HULL,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
HULL,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
HULL,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
HULL,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-61241.68
HULL,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
HULL,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-27946.82
HULL,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,642.98
HULL,totAssets,EagleSTAR TrialBalance,20260624,2766233.00
HULL,totLiabs,EagleSTAR TrialBalance,20260624,642.98
HULL,netAssets,EagleSTAR TrialBalance,20260624,2765590.02
HULL,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
HULL,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
HULL,mon2Sales,EagleSTAR TrialBalance,20260624,2702856.00
HULL,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
HULL,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
HULL,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
HYUX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
HYUX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
HYUX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
HYUX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
HYUX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
HYUX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
HYUX,totAssets,EagleSTAR TrialBalance,20260624,250000.00
HYUX,netAssets,EagleSTAR TrialBalance,20260624,250000.00
HYUX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
HYUX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
HYUX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
HYUX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
HYUX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
HYUX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
ICEE,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ICEE,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ICEE,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ICEE,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ICEE,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ICEE,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
ICEE,totAssets,EagleSTAR TrialBalance,20260624,125000.00
ICEE,netAssets,EagleSTAR TrialBalance,20260624,125000.00
ICEE,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
ICEE,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
ICEE,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
ICEE,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
ICEE,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
ICEE,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
IDJN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
IDJN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
IDJN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
IDJN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
IDJN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-15598.57
IDJN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,3437.03
IDJN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,309.29
IDJN,totAssets,EagleSTAR TrialBalance,20260624,983028.63
IDJN,totLiabs,EagleSTAR TrialBalance,20260624,309.29
IDJN,netAssets,EagleSTAR TrialBalance,20260624,982719.34
IDJN,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
IDJN,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
IDJN,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
IDJN,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
IDJN,mon3Sales,EagleSTAR TrialBalance,20260624,1241906.00
IDJN,mon3Redemption,EagleSTAR TrialBalance,20260624,497848.00
IDMY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
IDMY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
IDMY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
IDMY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-27283.00
IDMY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-7543.28
IDMY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-24414.77
IDMY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,609.37
IDMY,totAssets,EagleSTAR TrialBalance,20260624,4737253.34
IDMY,totLiabs,EagleSTAR TrialBalance,20260624,609.37
IDMY,netAssets,EagleSTAR TrialBalance,20260624,4736643.97
IDMY,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
IDMY,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
IDMY,mon2Sales,EagleSTAR TrialBalance,20260624,5042504.00
IDMY,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
IDMY,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
IDMY,mon3Redemption,EagleSTAR TrialBalance,20260624,376906.50
IONC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
IONC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
IONC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
IONC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
IONC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
IONC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
IONC,totAssets,EagleSTAR TrialBalance,20260624,250000.00
IONC,netAssets,EagleSTAR TrialBalance,20260624,250000.00
IONC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
IONC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
IONC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
IONC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
IONC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
IONC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
IOSX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
IOSX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
IOSX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
IOSX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
IOSX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
IOSX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
IOSX,totAssets,EagleSTAR TrialBalance,20260624,250000.00
IOSX,netAssets,EagleSTAR TrialBalance,20260624,250000.00
IOSX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
IOSX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
IOSX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
IOSX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
IOSX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
IOSX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
JOUL,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
JOUL,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
JOUL,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
JOUL,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-119002.54
JOUL,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
JOUL,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,290183.12
JOUL,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,1737.42
JOUL,totAssets,EagleSTAR TrialBalance,20260624,11760537.65
JOUL,totLiabs,EagleSTAR TrialBalance,20260624,1737.42
JOUL,netAssets,EagleSTAR TrialBalance,20260624,11758800.23
JOUL,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
JOUL,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
JOUL,mon2Sales,EagleSTAR TrialBalance,20260624,2779589.00
JOUL,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
JOUL,mon3Sales,EagleSTAR TrialBalance,20260624,8682840.00
JOUL,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
JUNC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
JUNC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
JUNC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
JUNC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
